texto,label
STF decide como será a eleição no Rio com cassação de Castro; entenda o que está em jogo,1
CPI rejeita proposta de indiciamento de ministros do STF,1
Pesquisa mostra o número que mais dificulta o avanço de Flávio Bolsonaro sobre Lula,1
Band foi pressionada a demitir comentarista após ele criticar o conluio entre o STF e a PGR contra Bolsonaro,0
"Vídeo com imagens da ponte rodoferroviária Rollemberg-Vuolo, em que o narrador detalha informações do projeto. Sobrepostas aos vídeos estão fotos de Jair e Michelle Bolsonaro, dando a entender que o empreendimento foi uma iniciativa do governo do ex-presidente.",0
"Deputado do PT blinda governo Lula, segura 600 pedidos e barra questões sobre Banco Master",1
Avião do presidente Lula foi interceptado com malas de dinheiro ligadas à fraude no INSS,0
STF mantém prisão de ex-presidente do BRB; Toffoli se declara impedido,1
A GloboNews cortou do Globoplay a fala da Daniela Lima sobre uma troca de mensagens com um ministro do STF,0
"Flávio Bolsonaro diz que, se eleito, usará seu prestígio no Congresso para reduzir maioridade penal",1
"Sergio Moro lidera em todos os cenários para governo do Paraná, diz Genial/Quaest",1
No meu governo a gente colocou a CGU como ministro para fiscalizar,0
"Vídeo que circula no TikTok, no qual torcedores do Flamengo aparecem supostamente xingando o candidato à presidência Lula durante uma partida de futebol no Maracanã.",0
Bolsonaro se queixa de 'dor intermitente' no ombro e PGR não se opõe a realização de cirurgia,1
A reação das lideranças evangélicas à rejeição de Jorge Messias para o STF,1
Ação mira Flávio Bolsonaro e Silas por propaganda eleitoral antecipada,1
Mendonça trava julgamento no STF contra Eduardo Bolsonaro,1
PF vê indícios de ligação do PCC e banco que financia pesquisas favoráveis ao Lula,0
Lula x Flávio: nova pesquisa Real Time Big Data mostra disputa após derrotas do presidente,1
"O ex-general Pollo Carvajal, da Colômbia, denunciou que o ex-ministro do STF Joaquim Barbosa foi o mandante da morte do também ex-ministro Teori Zavascki.",0
PGR foi contra mudanças nas regras da delação premiada em ação no STF,1
O estado onde Flávio Bolsonaro tem vantagem de quase 30 pontos sobre Lula,1
STF não tem tem competência para decidir medidas da execução penal de Jair Bolsonaro,0
"Lula ladrão, seu lugar é na prisão, na inauguração de ponte construída por Bolsonaro",0
"Advogado Montenegro se matou após decisões arbitrárias do STF, onde foi condenado pelo 8 de Janeiro",0
Presidente do PT confirma que Lula será candidato à reeleição,1
Congresso analisa veto de Lula ao PL da Dosimetria; entenda o cenário,1
E todo mundo achando que o presidente Bolsonaro estava inelegível: ele vai passar a mandar no Brasil caso o PL assuma a presidência da Câmara,0
"Flávio Bolsonaro e Caiado poupam munição contra ministros, e Zema se firma como candidato anti-STF",1
"Lula disse: 'Não se ganha copa com hospitais, vou construir estádios de futebol'; 'Ainda bem que a ‘natureza’ criou o coronavírus'; 'Um político ladrão é mais digno que um funcionário público'; 'Eu não vou enganar o povo mais uma vez'; e 'Eu não posso ver mais jovem de 14, 15 anos, assaltando e sendo violentado pela polícia só porque roubou um celular'",0
Violência explodindo no país e o que Haddad faz? Planeja soltar condenados!,0
Jornal O Globo faz reportagem intitulada “Intestino de Bolsonaro se adianta e já está preso” para debochar do ex-presidente,0
Lula e Merz se encontram em momento delicado para seus governos,1
"Video de Lula faz parte da propaganda eleitoral na Argentina,video esse que apresenta aos eleitores do então candidato da ESQUERDA Sérgio Massa,parte dos escândalos de CORRUPÇÃO praticados no BRASIL por LULA e sua turma.",0
No dia 08/08 Haddad e Lula decretaram que o FGTS será taxado em 35% no momento do saque-rescisão,0
"Postagem compartilha uma imagem do ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), usando um boné com o logo da Agência dos Estados Unidos para o Desenvolvimento Internacional (USAID, na sigla em inglês). “Agora tudo está claro”, afirma a legenda.",0
"Vídeo mostra os feitos do governo Bolsonaro, que incluem aumento do poder de compra e criação do PIX",0
DESCOBERTO O GOLPE DA INVASÃO DO CONGRESSO Tudo isso não passou de um golpe muito bem engendrado pela turma do PT.,0
PF cumpre sete mandados de prisão contra investigados por corrupção no governo do RJ,1
"""Notícia bombástica internacional confirmada agora. O presidente americano Donald Trump incluiu o nome de Luiz Inácio Lula da Silva e Alexandre de Moraes no protocolo do Veredito Final""",0
Ivete Sangalo e Fátima Bernardes dizem que Lula é o único presidente que já deve coragem de peitar o império,0
Datafolha vai medir pela primeira vez como brasileiro vê cada um dos 10 ministros do STF,1
Empresa contratada pelo TSE para apuração dos votos tem ligação com o PT,0
"Em nova derrota para o governo, Congresso derruba veto de Lula e reduz pena de Bolsonaro",1
Efeito Trump coloca elegibilidade de Bolsonaro em pauta no TSE,0
URGENTE: Flávio Bolsonaro acabou de fugir do Brasil. O golpista foi pra Europa onde deve ficar foragido. Lembrando que ele está no inquérito do golpe e seria preso no Brasil,0
"O PT assinou a constituição de 88? O pessoal faz uma ronda agora sobre carta à democracia para tentar atingir a mim, mas a bancada toda do PT não assinou essa carta à democracia em 88",0
"Site ""Veja seu Voto"" mostra votos de mortos para Lula, o que o STF fará?",0
Meio/Ideia: Lula lidera 1º turno e empata com Flávio Bolsonaro no 2º,1
"A difícil situação de Gleisi na corrida ao Senado pelo Paraná, segundo pesquisa",1
Zema diz que STF tem ‘rabo preso’ e que ministros ‘evitam investigações’,1
"Quem é Agustin Fernandez, aliado de Michelle que detonou Flávio e expôs o ódio no clã Bolsonaro",1
Ratinho vira réu por discriminar deputada do PT; indenização é de R$ 1 milhão,1
Datafolha realizou pesquisa online sobre eleição presidencial,0
Comissão da Câmara convida ministro da Justiça para explicar atuação da PF no caso Ramagem,1
"""IREI PRENDER O LULA"" AFIRMA JUIZ SERGIO MORO ""JÁ TENHO TODAS AS PROVAS SUFICIENTES. PORÉM, PRECISAREI DE MUITO APOIO POPULAR. "" ""PRECISAMOS DE ALGO ROBUSTO, COMO UMA POSTAGEM COM MAIS DE 1 MILHÃO DE COMPARTILHAMENTOS NAS REDES SOCIAIS",0
"Com manobra do Centrão, Congresso deve analisar veto de Lula ao PL da Dosimetria",1
Lula disse que políticos não deveriam cuidar de pessoas pobres porque quando elas estudam e ascendem socialmente deixam de votar.,0
"Em entrevista a rádio, Lula afirma que PT é organização criminosa",0
Daniel Vorcaro surta na prisão e delata Lula e membros do STF,0
Comandante da Marinha manda recado grave para Lula e STF.,0
Suprema Corte espanhola absolve Neymar de acusações de corrupção e fraude,1
Pesquisas eleitorais: como está a disputa Lula x Flávio Bolsonaro após Datafolha e Quaest,1
"Paulo Guedes diz que Bolsonaro não mandava na presidência e dependia dos filhos Eduardo e Flávio para aprovar tudo. Guedes diz que “cansava de reclamar que os filhos queriam colocar o dinheiro dos negócios junto com o Queiroz no orçamento secreto, sendo que o presidente Bolsonaro não sabia de nada”.",0
Hugo Motta exonera assessor que interrompeu entrevista ao vivo com palavrão e pedido de reeleição de Lula,1
Uczai diz que base do governo vai recorrer ao STF após derrubada do veto ao PL da Dosimetria,1
Bolsonaro deixou pronta a ponte sobre o rio Araguaia,0
Áudio grampeado de Lula exige prisão e inelegibilidade de Flávio Bolsonaro antes das eleições,0
Governo Lula vai obrigar famílias CARENTES a DEVOLVEREM o auxílio emergencial pago no governo Bolsonaro,0
"""Quem escolhe candidato é o poder judiciário... porque o povo é 'burro'. O povo só escolhe corrupto. O povo só escolhe bandido..."", disse o deputado Wadih Damous, provavelmente sem perceber que estava sendo gravado.",0
Boulos ultrapassa Marçal 18:45 Dilma ultrapassa Aecio as 18:45 Lula ultrapassa Bolsonaro as *18:45* Pois e meu amigo Eleição não se ganha se toma.. [olha a coincidência Veja só sempre a mesma hora,0
Governo Lula vai aumentar o ICMS e gasolina vai ficar mais cara,0
Líderes de esquema de fraude contra imigrantes brasileiros são presos na Flórida,1
Pesquisas eleitorais: como está a disputa entre Lula e Flávio às vésperas da nova AtlasIntel,1
Número recorde de húngaros comparece às urnas em eleição que pode destituir Orbán e abalar Rússia,1
Haddad declarou a impossibilidade de o governo pagar funcionários públicos e PIB está caindo,0
"Gleisi dispara contra Bolsonaro, Caiado e Tarcísio: “Traidores da Pátria”",1
TRE-SP anula votos e cassa mandatos em Osasco por fraude à cota de gênero,1
Supremo Tribunal espanhol decide futuro de Neymar em processo de fraude e corrupção,1
"Gritos, cusparada e euforia: 10 anos da sessão do impeachment de Dilma",1
"Segundo ministro da Fazenda, Fernando Haddad, governo analisa proposta de regulamentar casas noturnas de prostituição",0
Presidente Luiz Inácio Lula da Silva disse que a mulher tem que ficar em casa para dar banho e jantar para os filhos e marido.,0
Relator da OEA diz em vídeo que 8 de janeiro foi programado pelo STF para manter a censura,0
Sou o único candidato que tem a proposta tributária explícita [no programa de governo].,0
STF suspendeu rastreamento de bebidas após pedido da Receita Federal do governo Lula. Bebidas contaminadas por metanol,0
"Homem que atacou o Supremo Tribunal Federal (STF) jogou uma bomba contra a estátua da Justiça, mas o explosivo quicou, caiu em cima dele e o matou",0
Estabelecimentos comerciais passaram a vender ossos bovinos no atual governo Lula,0
"Flávio Bolsonaro diz: ""O Sistema Único de Saúde (SUS) será privatizado no mesmo dia em que eu tomar posse""",0
Messias: Mendonça é um dos melhores ministros do STF e tenho muito orgulho de ter seu apoio,1
"Bolsonaro recebe R$ 18,4 milhões para proteger Michel Temer e atacar o PT!",0
"Lula falou que quem vota nele e no PT é ""desprovido de inteligência""",0
"Absurdo. Lula agradecendo o voto do Marcola, líder da organização criminosa PCC",0
"Médica que receitou pregabalina e sertralina a Bolsonaro, que provocaram um surto no ex-presidente, é da Polícia Federal",0
PGR toma coragem e ordena DESTITUIÇÃO de Alexandre de Moraes do STF,0
Vídeo mostra reação de Bolsonaro à prisão de Lula e de Lula à prisão de Bolsonaro,0
"DPVAT custava R$ 12,30 no governo Bolsonaro e passou a custar R$ 292,01 no governo Lula",0
"LULINHA & VEJA LANÇADA ONTEM EM SP VAI QUEBRAR O PAU: O desespero do presidiário Lula, seus filhos que nunca trabalharam , Haddad, Guilherme Boulos, Marina, Ciro, Suplicy e diversos amigos do Lula estão desesperados com a verdade que veio à tona. Vai ser publicada na VEJA desse final de semana a RIQUEZA do LULINHA. Sócio majoritário dos Frigoríficos JBS (Friboi), SÓCIO majoritário da Telefonia OI, Proprietário de SEIS Fazendas que somadas dão um total de 1.400.000 hectares . Criador de mais de 500.000 cabeças de GADO no Estado do PARÁ. Sócio majoritário da cooperativa de Frigoríficos em Gurupi-TO . Cooperfrigu, este Frigorifico exporta cocaína para toda Europa .",0
AGU recorre contra anulação de condenação de aliado de Lula,1
‘Falta de apoio’ no PL abre crise na campanha de Flávio Bolsonaro,1
"PS ""sabota"" eleição do Provedor de Justiça? — Debate",1
Candidato de ultradireita no Peru oferece R$ 29 mil por provas de fraude eleitoral,1
As apostas que Izalci Lucas faz para desbancar o apoio de Michelle Bolsonaro a Celina Leão ao governo do DF,1
"Flávio Bolsonaro tem maior taxa de rejeição, com 52,6%, contra 47,4% de Lula, aponta CNT/MDA",1
Por que o próximo presidente da República pode mudar o perfil do STF,1
Presidente do PT reage ao empate técnico entre Lula e Flávio Bolsonaro no Datafolha,1
Novas sanções e Lei Magnitsky serão aplicadas essa semana aos ministros do STF,0
"""Ausência confirmada! Lula fica de fora da posse de Trump e causa polêmica""",0
"Então, eu peguei um passageiro no aeroporto que tinha acabado de chegar de São Paulo. E ele faz parte da cúpula da Mancha Vermelha, que é uma organização do PT, que participa de altas reuniões junto com o Lula, Zé Dirceu?",0
"IDOSO É PRESO, APÓS FAZER S*** COM QUATRO GAROTAS DE PROGRAMA EM CABARÉ, E NA HORA DE PAGAR, DISSE QUE QUEM PAGARIA A CONTA, SERIA O CANDIDATO A PRESIDÊNCIA, CIRO GOMES.",0
Anunciadas prisões de Eduardo e Michelle Bolsonaro após delação premiada de Mauro Cid,0
"Após um advogado ser impedido de entrar na sessão do Supremo Tribunal Federal (STF) que julgava denúncia contra o ex-presidente Jair Bolsonaro (PL) e outras sete pessoas, começaram a circular posts dizendo que o órgão feriu o Estatuto da Ordem dos Advogados do Brasil (OAB), segundo o qual advogados podem entrar livremente em qualquer julgamento.",0
MPF disse que não existe prova de corrupção no governo Bolsonaro,0
"Flávio usa sabatina de Messias para mirar Lula, STF e reanimar base bolsonarista",1
Delação de Daniel Vorcaro chega à Polícia Federal,1
"Ventura: ""PTRR é uma fraude política""",1
"Ministro Gilmar Mendes, do Supremo Tribunal Federal (STF), admitiu não ter ocorrido tentativa de golpe nos atos de 8 de janeiro de 2023, na Praça dos Três Poderes, em Brasília",0
Maquiador de Michelle detona “ego e a vaidade” de Flávio Bolsonaro e prevê vitória de Lula,1
A hora da verdade para a delação de Daniel Vorcaro no STF,1
Câmara vota para derrubar veto de Lula a projeto que reduz pena de Bolsonaro; Senado precisa votar,1
"Nicolás Maduro denuncia Lula, José Dirceu e o Foro de São Paulo em tribunal e diz que o Cartel de Los Soles se integra ao Brasil",0
Áudios divulgados pelo Fantástico confirmam inocência de Jair Bolsonaro no golpe,0
Zema compara ministros do STF a coroa portuguesa em vídeo sobre inconfidência mineira,1
Governo Lula anuncia taxação de corridas de rua,0
Pesquisa eleitoral mostra que eleitor desaprova a economia,1
"Eduardo Paes pode levar eleição no Rio no primeiro turno, diz pesquisa",1
Nova pesquisa presidencial mostra desempenho de Caiado contra Lula e Flávio,1
Chefe da inteligência sofreu tentativa de homicídio após descobrir esquema de desvio de verba no Exército comandado por Lula e STF,0
Datafolha: Flávio Bolsonaro lidera com 46% contra 45% de Lula no 2º turno,1
"Haddad reduz distância para Tarcísio no 1° turno de SP, diz nova pesquisa Quaest",1
Nova pesquisa eleitoral mostra empate técnico entre Lula e Flávio no 2º turno,1
"Eduardo Bolsonaro, mesmo foragido, vira suplente em chapa do PL ao Senado por SP",1
Lula acionou o STF para não devolver o dinheiro das vítimas da fraude no INSS,0
Nova. Tribunal admite providência contra eleição de reitor,1
STF marca julgamento para decidir se Bolsonaro poderia ter bloqueado cidadãos em redes oficiais,1
Lula acusa Flávio Bolsonaro de querer vender Brasil aos EUA,1
"Pesquisa prevê empate de Lula com Flávio Bolsonaro, Caiado e Zema",1
Promotor pede a juiz que encerre investigação de corrupção contra a esposa de primeiro-ministro da Espanha,1
Lula x Flávio: o resultado de nova pesquisa no estado que costuma decidir o presidente,1
Flávio Bolsonaro promete mais mulheres e menos militares no governo,1
"Como o Flávio Dino tem a Ficha Limpa? Você tem 77 processos engavetados no Supremo Tribunal Federal que eu sei disso [...] O Lula não é Ficha Limpa, não podia ser candidato, mas foi",0
Bancada do Novo aciona TCU contra atuação da AGU e fala em censura indireta,1
O que diz a nova pesquisa Meio/Ideia sobre a disputa entre Lula e Flávio Bolsonaro,1
NYT revelou delação de Nicolás Maduro de cita Lula 17 vezes e menciona Alexandre de Moraes,0
"O ministro Alexandre de Moraes expediu uma ordem de prisão nesta quinta-feira para a deputada Paula Belmonte por expor no Parlamento dos Estados Unidos que Moraes se tornou ministro da Suprema corte por conta de uma chantagem que fez ao ex-presidente Michel Temer, onde Moraes solicitou serviços de um hacker para chantagear Temer com fotos eróticas de sua esposa para que Moraes fosse indicado para a vaga do ministro Teori Zavascki",0
A resposta de Tebet sobre ser vice de Haddad após brilhar em pesquisa do PT,1
"Lula mantém liderança no 1º turno, mas segue numericamente atrás de Flávio no 2º, mostra pesquisa AtlasIntel",1
Governo oficializa ex-ministro Paulo Pimenta como líder na Câmara,1
"Transferência de votos de Bolsonaro para Flávio nas pesquisas é ‘muito rápida’, diz diretora do Datafolha",1
Bolsonaro deixou obra da ponte sobre o Rio Araguaia parada por quatro anos,0
Bolsonaro deu 33% de reajuste para docentes das universidades federais e Lula 0%,0
O petista cotado para assumir a coordenação do grupo eleitoral de Lula,1
Polícia Federal confirma: Bolsonaro nunca usou cartão corporativo da Presidência,0
PGR se manifestou recentemente contra pedido de prisão de Bolsonaro,0
Gleisi diz que Guimarães fará na SRI articulação política com amplo respeito no Congresso,1
"Governo Lula gastou R$ 1,4 bilhão em cartão corporativo e Bolsonaro, R$ 27 milhões",0
Lula demite presidente do INSS,1
Lula x Flávio: quando será divulgada próxima pesquisa sobre disputa à Presidência,1
Senador se refere a Moraes como ‘cadáver sem empatia’ durante sabatina a Messias por vaga no STF,1
Este vídeo prova que o PT votou contra o Auxílio Brasil,0
Aliados de Lula buscam momento ideal para começar a desgastar Flávio Bolsonaro,1
"Lula segue com alta rejeição, eleitor acha que perdeu poder de compra",1
Lula disse que comprou votos para vencer as eleições de 2022,0
"Publicações acompanhadas por um vídeo da participação de Demétrio Magnoli no programa Em Pauta, da GloboNews, afirmam que o jornalista foi demitido após fazer comentários criticando a possível cassação do mandato do senador Sergio Moro (União Brasil) pelo Tribunal Regional Eleitoral do Paraná (TRE-PR) por abuso de poder econômico na pré-campanha eleitoral de 2022.",0
Dez anos do processo de impeachment de Dilma: por onde andam 10 nomes,1
"Lula vence 1° turno e vê Flávio Bolsonaro encostar no 2°, diz nova pesquisa Meio/Ideia",1
"O PT entrou com uma liminar, pedindo a anulação do Projeto do Bolsonaro com Israel para acabar com a seca do Nordeste, “a seca no Nordeste é cultural, quase um patrimônio, e não deve ser destruída”, disse Gleisi Hoffmann.",0
Rogéria Bolsonaro é testada em pesquisa ao Senado no Rio,1
Senado rejeita indicado de Lula ao STF e oposição fala em 'fim do governo',1
O relato de Messias sobre sua atuação durante impeachment de Dilma,1
Lula diz que mídia tem preferência política: 'não achem que esqueci do que fizeram comigo',1
The New York Times divulgou delação em que Maduro incrimina Lula e Moraes,0
China condena dois ex-ministros da Defesa à morte por corrupção,1
04/01/2026. O presidente Donald Trump publicou nas redes sociais uma carta endereçada a Jair Bolsonaro e voltou a dizer que o julgamento do ex-presidente brasileiro deve parar imediatamente,0
"Ministro Haddad diz em entrevista que o plano do governo é ""taxar tudo""",0
Uma tentativa de golpe está em andamento porque o TSE adiou para as eleições seguintes a proibição de voto entre presos provisórios.,0
Ratinho Jr. escolhe o seu candidato na disputa pelo governo do Paraná,1
"A FUNCIONARIA FANTASMA DO GOVERNO. Anieyl Gusmão Paiva filha do ex assessor de ministro do Governo Dilma Luiz Paiva, é funcionária COMISSIONADA no Governo Federal, ganhando 37 mil de salários mais 28 mil de auxílios. O que ninguém explica é que Anieyl mora na Irlanda já faz 5 anos.",0
Supremo Tribunal Federal (STF) condena Serasa a pagar indenização a todos os brasileiros que tiveram dados vazados,0
Messias disse a Lula que sairia do governo e presidente pediu para ele ficar; leia bastidor,1
Flávio Bolsonaro critica Lula e discursa em tom de campanha em sessão do Congresso,1
"Família Bolsonaro não deve se meter mais nas eleições do Rio, porque só apresentam ladrão', diz deputado ex-bolsonarista Otoni de Paula",1
Lula pediu ao STF para passar lua de mel em Dubai,0
"O auxílio-reclusão foi criado por Lula e os beneficiários recebem de R$ 2,5 mil a R$ 4 mil enquanto a família da vítima do crime fica desamparada. A saída temporária é concedida pelo STF, que é composto por ministros indicados por Lula",0
Senado rejeita indicação de Messias para o STF,1
Presidente Lula morreu e foi substituído por sósia,0
Decisão sobre eleição no Rio volta ao TSE após recurso,1
"A preocupação da cúpula militar do governo, diante do risco de Flávio Bolsonaro derrotar Lula",1
Ministro do TCU destrava processo de concessão da Ferrogrão,1
Fantástico solta áudio que confirma a inocência de Bolsonaro em caso de tentativa de golpe,0
"Encontrar uma liderança para substituir Lula 'não é simples', diz presidente do PT",1
"O conselho que Lula recebeu, após o Senado rejeitar a indicação de Jorge Messias ao STF",1
Guerra Civil à vista GRAVÍSSIMO!!! PT MANDOU O TSE CASSAR OS MANDATOS E TORNAR INELEGÍVEIS TODOS OS DEPUTADOS DO PL.,0
Novo Datafolha: três pontos de atenção na pesquisa sobre Flávio x Lula,1
"Datafolha: Lula tem 48% de rejeição, contra 46% de Flávio Bolsonaro",1
"COLUNA | Ex-prefeito de Bagé, Divaldo Lara virá a candidato a deputado federal",1
Kassab: ‘Não vejo nem Lula nem Flávio ganhando a eleição’,1
STF foi incluído em uma investigação do Congresso dos Estados Unidos e seus membros 'estarão sujeitos às penalidades legais e criminais do direito americano e internacional',0
Eduardo Bolsonaro ironiza encontro entre Lula e Trump: 'E a soberania nacional?',1
Datafolha: Avaliação negativa do governo Lula se mantém em 40%; positiva passa de 32% a 29%,1
Demétrio Magnoli é demitido da GloboNews após criticar a possível cassação do mandato do senador Sergio Moro.,0
Foto exclusiva mostra governo Lula preparando reação militar caso Trump cancele os vistos de Ministros do STF,0
"Moro comemora rejeição de Messias: ""Queremos STF independente de Lula""",1
PT está reinaugurando obras de Bolsonaro,0
O fator que pressiona Lula e é considerado por analistas a ameaça central à reeleição,1
Pesquisa aponta fragilidade na economia e acende alerta para Lula,1
"Em vídeo escondido pelo PT, Lula revela a verdadeira ideologia do partido",0
"Marcos Pereira, presidente do Republicanos: “Atacar o STF é lamentável”",1
Governo Lula vai descontar 35% do FGTS,0
"Lula x Flávio: o que a nova pesquisa AtlasIntel revela sobre a disputa, segundo diretor do instituto",1
"Com Lula, fraude no INSS pode passar de R$ 150 bilhões",0
Governo Lula soltou Marcola e outros 174 membros do PCC,0
Lula volta a mostrar vitalidade após especulações de desistência de reeleição,1
STF diz que Chiquinho Brazão não pode ser preso,0
Eduardo Bolsonaro ironiza incapacidade do STF de prender foragidos da trama golpista: ‘Ainda estamos aqui’,1
O duplo papel estratégico do novo ministro da articulação política de Lula,1
"Polícia federal.Porto de Santos. 60 baús de medicamentos cheios de bilhões de dolares. Nosso dinheiro do mais médicos que vai para Cuba e agora volta para financiar guerrilha armada do PT. Mais de vinte petistas preso em flagrante. Repassem. Repassem para o Brasil Inteiro saber o que eles fizeram com o nosso Brasil, e o destino da maldade que seria usado esse dinheiro! Disfarçados de etiquetas de medicamentos. Cheios de Dólares para espanto dos policiais.",0
Bolsonaro foi aplaudido ao chegar ao plenário do STF para o seu julgamento,0
Bolsonaro não usou cartões corporativos enquanto era presidente,0
"“LULA ontem, no lançamento de sua campanha, bêbado e falando besteiras. A cada besteira um gole de cachaça. Vejam a cara do puxa saco atrás dele. Quando o ladrão vai na garrafa a Bruna Marilena toma a garrafa da mão dele",0
Vídeo mostra Haddad dizendo que o plano do governo é taxar tudo,0
Escolha de André do Prado por Eduardo Bolsonaro para o Senado gera críticas de bolsonaristas,1
AtlasIntel: Lula amplia vantagem sobre Flávio Bolsonaro no 1° turno,1
Temer lamenta rejeição de Jorge Messias para o STF e defende PL da dosimetria,1
"Em evento na cidade de Porto Alegre (RS), o Senador Flávio Bolsonaro (PL-RJ) afirmou que pretende REVOGAR A ISENÇÃO DO IMPOSTO DE RENDA do Presidente Lula (PT-SP)",0
Tebet descarta ser vice de Haddad e diz que Lula é o líder mais forte para “derrotar a extrema-direita,1
Post diz que obra da ponte que liga Pará e Tocantins foi feita apenas no governo Lula,0
Ministro Fernando Haddad diz que governo analisa proposta para regulamentar casas noturnas de prostituição,0
Governo Bolsonaro não fez nada na ponte sobre o rio Araguaia,0
Bolsonaro foi hostilizado em restaurante de Buenos Aires com gritos a favor de Lula,0
Mauro Cid diz que não falou a palavra “golpe” em delação premiada,0
"Instituto Lula e Ipec, empresa de pesquisa eleitoral, ficam no mesmo endereço",0
"De volta, Delúbio Soares se lança à Câmara como “o cara de Lula”",1
"Mirando a reeleição, Lula acena com dinheiro e concessões aos evangélicos",1
